Last name,Latin first name,First name,Middle name,Order,Session I,Session II,Session III,Session IV,Wikipedia,Wikidata,VIAF,Worldcat identities,Find a Grave,Catholic Hierarchy,Selected mention,Status,# wikipedia pages,Country of origin/Country represented,Birth year,Death year,Age at start of council,Age at death,Highest Episcopal Title,Sainthood,Important,Photo no reuse,Photo reuse,Change during council,Memoir on the council,Typo,Credibly accused? (USA only),Humanae Vitae,Ethics Watch,Left priesthood,Notes
Abate,Antonius,Antonino,null,OP,1,1,1,1,null,https://www.wikidata.org/wiki/Q81310113,http://viaf.org/viaf/20978910,https://worldcat.org/identities/lccn-n80046449/,null,null,Subject of article,council,0,Italy,1921,1987,41,66,null,null,null,null,null,null,null,null,null,null,null,null,
Abellan,Petrus,Pedro,Maria,SJ,1,1,1,1,null,https://www.wikidata.org/wiki/Q113727931,http://viaf.org/viaf/88958059,https://worldcat.org/identities/viaf-88958059/,null,null,null,council,0,Spain,1905,2000,57,95,null,null,null,null,null,null,null,null,null,null,null,null,
Adam,,Karl ,null,null,null,null,null,null,https://en.wikipedia.org/wiki/Karl_Adam_(theologian),https://www.wikidata.org/wiki/Q63733,http://viaf.org/viaf/76354114,https://www.worldcat.org/identities/lccn-n88252870/,https://www.findagrave.com/memorial/103545756/karl-borrom%C3%A4us-adam,null,Mentioned in article,private,13,Germany,1876,1966,86,90,null,null,null,null,null,died,null,null,null,null,null,null,
Ahern,Barnabas,Barnabas,Mary,CP,1,1,1,1,null,https://www.wikidata.org/wiki/Q60949430,http://viaf.org/viaf/79425489,https://worldcat.org/identities/lccn-n86852163/,https://www.findagrave.com/memorial/92274263/barnabas-mary-ahern,null,Biography (article),council,0,USA,1915,1995,47,80,null,null,yes,null,https://thecatholicnewsarchive.org/?a=d&d=CTR19641203-01.2.46&srpos=3&e=-------en-20--1--txt-txIN-barnabas+ahern-------,null,null,null,no,null,null,null,biblical scholar
Albareda,Ioseph Maria,Jose,Maria,null,1,1,1,1,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Albareda,https://www.wikidata.org/wiki/Q5942551,http://viaf.org/viaf/10944007,https://worldcat.org/identities/lccn-n84806101/,null,null,null,council,7,Spain,1902,1966,60,64,null,null,null,null,https://en.wikipedia.org/wiki/File:JMAlbareda1960.jpg,null,null,null,null,null,null,null,"soil scientist, friends with Josemaria Escriva"
Alting von Geusau,Leo,Leo,null,null,0,0,0,1,null,https://www.wikidata.org/wiki/Q97063563,http://viaf.org/viaf/54585555,https://worldcat.org/identities/lccn-no2002038813/,https://www.findagrave.com/memorial/25491093/leo-george_marie-alting_von_geusau,null,Subject of article,council,0,Netherlands,1925,2002,37,77,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=ncr19670412-01.2.8&srpos=2&e=-------en-20--1--txt-txIN-leo+alting-------,null,null,null,null,leaked the documents from the papal commission on birth control,null,"yes, married in 1981", 
Angles i Pamies,Hyginus,Higini,null,null,1,1,1,1,https://es.wikipedia.org/wiki/Higinio_Angl%C3%A9s,https://www.wikidata.org/wiki/Q1406785,http://viaf.org/viaf/54273855,https://worldcat.org/identities/lccn-n83127023/,null,null,null,council,8,Spain,1888,1969,74,81,null,null,null,https://www.cedoc.cat/images/22395/news_main_image.jpg,null,null,null,null,null,null,null,null,
Antonelli,Ferdinandus,Ferdinando,null,OFM,1,1,1,1,https://en.wikipedia.org/wiki/Ferdinando_Giuseppe_Antonelli,https://www.wikidata.org/wiki/Q1333529,http://viaf.org/viaf/37046245,https://worldcat.org/identities/lccn-nr98019338/,https://www.findagrave.com/memorial/27450116/ferdinando-giuseppe-antonelli,https://www.catholic-hierarchy.org/bishop/bantfg.html,null,council,12,Italy,1896,1993,66,97,Cardinal,null,null,null,https://en.wikipedia.org/wiki/Ferdinando_Giuseppe_Antonelli#/media/File:Ferdinando-antonelli.jpg,null,9781934888124,null,null,null,null,null,
Arrighi,Ioannes,Jean-Francois,null,OP,0,1,1,1,https://fr.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Arrighi,https://www.wikidata.org/wiki/Q3165433,http://viaf.org/viaf/165654957,https://worldcat.org/identities/viaf-165654957/,null,https://www.catholic-hierarchy.org/bishop/barrighi.html,null,council,2,France,1918,1998,44,80,Bishop,null,null,https://president.georgetown.edu/wp-content/uploads/sites/37/2018/12/vatican-ii-after-fifty-years.jpg,null,null,null,null,null,null,null,null,
Augustin,Franciscus,Franciscus,null,null,0,1,1,1,https://ro.wikipedia.org/wiki/Francisc_Augustin,https://www.wikidata.org/wiki/Q12728562,http://viaf.org/viaf/183680691,null,null,null,Mentioned in article,council,1,Romania,1906,1983,56,77,null,null,null,null,null,null,null,null,null,null,null,null,political prisoner
Baker,Ioseph,Joseph,null,null,1,1,1,1,null,null,null,null,null,null,Subject of article,council,0,USA,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Balic,Carolus,Karlo,null,OFM,1,1,1,1,https://en.wikipedia.org/wiki/Charles_Balic,https://www.wikidata.org/wiki/Q3659037,http://viaf.org/viaf/69235716,https://worldcat.org/identities/lccn-no93036594/,https://www.findagrave.com/memorial/63941196/carlo-bali%C4%87,null,null,council,6,Croatia,1899,1977,63,78,null,null,null,null,https://en.wikipedia.org/wiki/Charles_Balic#/media/File:Carlo_Balic.jpg,null,null,null,null,null,null,null,"Mariologist, leading expert on Scotus"
Bandas,Rudulfus,Rudolph,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q93268211,http://viaf.org/viaf/71034895,https://worldcat.org/identities/lccn-no2001006125/,https://www.findagrave.com/memorial/92800535/rudolph-g-bandas,null,Subject of article,council,0,USA,1896,1969,66,73,null,null,null,https://1.bp.blogspot.com/-PNFfRISx1xo/X4cISnKY9eI/AAAAAAAA0os/152YX1JJmsk_XDdQLbYsWaUfjUMdi9B4gCLcBGAsYHQ/w480-h640/Bandas%2B1.jpg,null,null,null,null,no,null,null,null,
Baragli,Henricus,Enrico,null,SJ,1,1,1,1,null,https://www.wikidata.org/wiki/Q75195282,http://viaf.org/viaf/162206401,https://worldcat.org/identities/lccn-n79096936/,null,null,null,council,0,Italy,1908,2001,54,93,null,null,null,null,null,null,null,null,null,null,null,null,
Barahana,Gabriel,null,null,SJ,0,1,1,1,null,null,null,null,null,null,null,council,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Barauna,Villelmus,Guilherme,null,OFM,0,0,1,1,null,https://www.wikidata.org/wiki/Q93431793,http://viaf.org/viaf/64525404,https://worldcat.org/identities/lccn-no98115606/,null,null,null,council,0,France,1929,null,33,null,null,null,null,null,null,null,OCLC: 1508038,null,null,null,null,null,
Barbosa Rocha,Zephyrinus,Zeferino,null,null,0,0,1,1,null,null,http://viaf.org/viaf/68150565695306251339,https://www.worldcat.org/identities/viaf-68150565695306251339/,null,null,Subject of article,council,0,Brazil,1929,2016,33,87,null,null,null,null,null,null,null,null,null,null,null,null,
Barry,Gerardus,Garrett,null,OMI,1,1,1,1,null,https://www.wikidata.org/wiki/Q113791240,http://viaf.org/viaf/34080045,https://www.worldcat.org/identities/lccn-no98107239/,null,null,Mentioned in article,council,0,USA,1909,null,53,null,null,null,null,https://www.omiworld.org/wp-content/uploads/LEVASSEUR-Donat-A-History-of-the-Missionary-Oblates-of-M.I.pdf,null,null,null,typo in Weiser's list (Garret),no,null,null,null,
Barry,Michael,Michael,J,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/196765699/michael-barry,null,Obituary,council,0,Canada,1926,2005,36,79,null,null,null,null,null,null,null,null,null,null,null,null,
Bartoccetti,Victorius,Vittorio,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q93269028,http://viaf.org/viaf/77760206,https://worldcat.org/identities/lccn-n85224733/,null,null,null,council,0,Italy,1893,1963,69,70,null,null,null,null,null,died,null,null,null,null,null,null,
Baum,Gregorius,Gregory,null,OESA,1,1,1,1,https://en.wikipedia.org/wiki/Gregory_Baum,https://www.wikidata.org/wiki/Q214447,http://viaf.org/viaf/68937895,https://worldcat.org/identities/lccn-n79056156/,null,null,Obituary,council,8,Germany,1923,2017,39,94,null,null,yes,null,https://thecatholicnewsarchive.org/?a=d&d=CTR19760130-01.2.48&srpos=2&e=-------en-20--1--txt-txIN-gregory+baum-------,null,9781579921194,null,null,null,"disobedient on ordaining women, and gay marriage","yes, married woman in 1978, fell in love with a priest in 1986",
Baum,Villelmus,William,Wakefield,null,1,1,1,1,https://en.wikipedia.org/wiki/William_Wakefield_Baum,https://www.wikidata.org/wiki/Q546828,http://viaf.org/viaf/62835849,https://worldcat.org/identities/lccn-n80009904/,https://www.findagrave.com/memorial/212769335/william-wakefield-baum,https://www.catholic-hierarchy.org/bishop/bbaum.html,Subject of article,council,21,USA,1926,2015,36,89,Cardinal,null,null,null,https://en.wikipedia.org/wiki/William_Wakefield_Baum#/media/File:William_Wakefield_Baum.jpg,null,null,null,no,null,null,null, 
Beck,,Henry,GJ,null,null,null,null,null,null,null,http://viaf.org/viaf/70954937,https://www.worldcat.org/identities/lccn-no92000638/,null,null,Mentioned in article,private,0,USA,null,null,null,null,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=ca19581003-01.2.62&srpos=4&e=-------en-20--1--txt-txIN-%22henry+beck%22~3-------,null,null,null,no,null,letter to the editor that a priest's marriage should be a private matter,null,
Bednarski,Felix,Feliks,null,OP,0,1,1,1,https://pl.wikipedia.org/wiki/Feliks_Bednarski,https://www.wikidata.org/wiki/Q9258546,http://viaf.org/viaf/84500395,https://worldcat.org/identities/lccn-n83219564/,null,null,null,council,1,Poland,1911,2006,51,95,null,null,null,https://www.flickr.com/photos/liturgiapl/6352612625/,null,null,null,null,null,null,null,null,
Behrendt,Antonius,Anton,null,null,0,0,1,1,null,null,http://viaf.org/viaf/313480707,null,null,null,Subject of article,council,0,Germany,1896,1968,66,72,null,null,null,null,null,null,null,null,null,null,null,null,
Bejan,Ovidius,Ovidius,null,null,1,1,1,1,null,null,http://viaf.org/viaf/9146522311532391441,https://worldcat.org/identities/viaf-9146522311532391441/,null,null,null,council,0,Romania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Belanger,Marcellus,Marcel,null,OMI,1,1,1,1,null,null,null,null,null,null,Mentioned in book,council,0,Canada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Belloli,Ioannes Baptista,Giovanni,Battista,null,1,1,1,1,null,null,null,null,null,null,Subject of article (encyclopedia),council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Beniamino,della SS. Trinita,Beniamino,null,OCD,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Benoit,Petrus,Pierre,Maurice,OP,0,0,1,1,https://en.wikipedia.org/wiki/Pierre_Benoit_(theologian),https://www.wikidata.org/wiki/Q3383930,http://viaf.org/viaf/68925396,https://worldcat.org/identities/lccn-n50078866/,https://www.findagrave.com/memorial/235374367/pierre-maurice-benoit,null,Biography (article),council,6,France,1906,1987,56,81,null,null,null,https://www.baslibrary.org/sites/default/files/bsba130400400l.jpg,null,null,null,null,null,null,null,null,expert on the Dead Sea Scrolls
Bergin,Cliffordus,Clifford,null,null,0,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/100863606/clifford-bergin,null,Obituary,council,0,USA,1927,2008,35,81,null,null,null,http://www.mipolonia.net/wp-content/uploads/2017/10/St.-Mary-of-Perpetual-Help_1886-1961_Chicago_IL-1.pdf,null,null,null,null,no,null,null,null,
Bernard,Ioannes,null,null,null,1,1,1,1,null,null,null,null,null,null,null,council,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Berto,,Victor,Alain,OP,null,null,null,null,https://fr.wikipedia.org/wiki/Victor-Alain_Berto,https://www.wikidata.org/wiki/Q2388741,http://viaf.org/viaf/2591555,https://worldcat.org/identities/viaf-2591555/,null,null,Mentioned in book,private,null,France,1900,1968,62,68,null,null,null,https://crc-resurrection.org/notre-pere-fondateur/amities-sacerdotales-abbe-de-nantes/labbe-victor-berto.html,null,null,null,null,null,null,null,null,peritus to Marcel Lefebvre
Bertrams,Villelmus,Wilhelm,null,SJ,0,0,1,1,https://de.wikipedia.org/wiki/Wilhelm_Bertrams,https://www.wikidata.org/wiki/Q85820570,http://viaf.org/viaf/32935120,https://worldcat.org/identities/lccn-n85319321/,null,null,Biography (article),council,1,Germany,1907,1995,55,88,null,null,null,https://www.iuscangreg.it/cmsfiles/images/Nostri%20maestri%20grande/bertrams_grande.jpg,null,null,null,null,null,null,null,null,
Berutti,Christophorus,Cristoforo,Maria,OP,1,1,1,1,null,https://www.wikidata.org/wiki/Q93287479,http://viaf.org/viaf/94145542637196642313,https://worldcat.org/identities/viaf-3725159478280727990001/,null,null,null,council,0,Italy,1892,1976,70,84,null,null,null,null,null,null,null,null,null,null,null,null,
Beste,Udalricus,Ulric,null,OSB,1,1,1,1,null,null,http://viaf.org/viaf/26730798,https://worldcat.org/identities/lccn-no2002044302/,null,null,Biography (article),council,0,USA,1885,1976,77,91,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=cwp19410913-01.2.2&srpos=1&e=-------en-20--1--txt-txIN-ulric+beste-------,null,null,null,no,null,null,null,
Betti,Humbertus,Umberto,null,OFM,0,1,1,1,https://en.wikipedia.org/wiki/Umberto_Betti,https://www.wikidata.org/wiki/Q938698,http://viaf.org/viaf/7384844,https://worldcat.org/identities/lccn-n86003926/,https://www.findagrave.com/memorial/35537017/umberto-betti,https://www.catholic-hierarchy.org/bishop/bbetti.html,Obituary,council,15,Italy,1922,2009,40,87,Cardinal,null,null,null,null,null,null,null,null,null,null,null,
Bevilacqua,Iulius,Guilio,null,Oratorian,1,1,1,0,https://en.wikipedia.org/wiki/Giulio_Bevilacqua,https://www.wikidata.org/wiki/Q1337968,http://viaf.org/viaf/27193662,https://worldcat.org/identities/lccn-n82027992/,null,https://www.catholic-hierarchy.org/bishop/bbevi.html,Subject of article,council,13,Italy,1881,1965,81,84,Cardinal,null,null,http://www.csrnet.it/varie/personaggi/bevilacqua/bevilacqua.htm,null,died,null,null,null,null,null,null,spiritual director of Paul VI
Bidagor,Raimundus,Ramon,null,SJ,1,1,1,1,null,https://www.wikidata.org/wiki/Q65594009,http://viaf.org/viaf/239337447,https://worldcat.org/identities/lccn-no96000506/,null,null,null,council,0,Spain,1894,1977,68,83,null,null,null,null,null,null,null,null,null,null,null,null,
Bogliolo,Aloisius,Luigi,null,SDB,0,1,1,1,https://de.wikipedia.org/wiki/Luigi_Bogliolo,https://www.wikidata.org/wiki/Q62066937,http://viaf.org/viaf/32793987,https://worldcat.org/identities/lccn-n84059651/,null,null,Biography (article),council,1,Italy,1910,1999,52,89,null,null,null,null,null,null,null,null,null,null,null,null,
Boillat,Franciscus,Fernand,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q78058192,http://viaf.org/viaf/95166325,https://worldcat.org/identities/viaf-95166325/,null,null,Subject of article,council,0,Switzerland,1906,1997,56,91,null,null,null,https://www.rts.ch/2014/10/14/08/32/6210244.image?w=1200&h=630,null,null,null,null,null,null,null,null,
Bonet i Marrugat,Albertus,Alberto,null,null,1,1,1,1,https://ca.wikipedia.org/wiki/Albert_Bonet_i_Marrugat,https://www.wikidata.org/wiki/Q20242421,http://viaf.org/viaf/88854883,https://worldcat.org/identities/lccn-ns2017-001337/,null,null,Institute in his name,council,2,Spain,1894,1974,68,80,null,null,null,null,null,null,null,null,null,null,null,null, 
Bonet y Muixi,Emmanuel,Manuel,null,null,1,1,1,1,https://es.wikipedia.org/wiki/Manuel_Bonet,https://www.wikidata.org/wiki/Q6018792,http://viaf.org/viaf/20605019,https://worldcat.org/identities/lccn-n2004145345/,null,null,Biography (article),council,2,Spain,1913,1969,49,56,null,null,null,https://1.bp.blogspot.com/-r27PBql4b24/XW1N0whbtJI/AAAAAAAATeY/ssPjXUAGMq4BrBv2_eJu4a4vtDqwrW75QCLcBGAs/s1600/Bonet.jpg,null,null,null,null,null,null,null,null,
Borella,Petrus,Pietro,null,null,0,1,1,1,null,https://www.wikidata.org/wiki/Q93268642,http://viaf.org/viaf/74762884,null,null,null,Subject of article,council,0,Italy,1908,1982,54,74,null,null,null,null,null,null,null,null,null,null,null,null,
Bosler,Raimundus,Raymond,T,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q105013082,null,null,https://www.findagrave.com/memorial/114909929/raymond-thomas-bosler,null,Subject of dissertation,council,0,USA,1915,1994,47,79,null,null,null,https://images.findagrave.com/photos250/photos/2019/291/114909929_4c24cd2b-4422-4aab-b6f0-b7c2482395f2.jpeg,null,null,null,null,no,null,unclear,null,founding editor of The Criterion
Boulard,Ferdinandus,Fernand,null,null,1,1,1,1,https://fr.wikipedia.org/wiki/Fernand_Boulard,https://www.wikidata.org/wiki/Q26838379,http://viaf.org/viaf/61542393,https://worldcat.org/identities/lccn-n83068003/,null,null,Subject of book,council,1,France,1898,1977,64,79,null,null,null,https://books.openedition.org/larhra/docannexe/image/2943/img-1.jpg,null,null,null,null,null,null,null,null,Boulard Map
Boyer,Carolus,Charles,null,SJ,1,1,1,1,https://de.wikipedia.org/wiki/Charles_Boyer_(Theologe),https://www.wikidata.org/wiki/Q55560419,http://viaf.org/viaf/49269693,https://worldcat.org/identities/lccn-no91030429/,null,null,Obituary,council,1,France,1884,1980,78,96,null,null,null,null,null,null,null,null,null,null,null,null,peritus Luigi Boglioio wrote an article on him
Braga,,Carlo,null,SDB,null,null,null,null,https://en.wikipedia.org/wiki/Carlo_Braga,https://www.wikidata.org/wiki/Q1041916,http://viaf.org/viaf/100866235,https://www.worldcat.org/identities/viaf-100866235/,null,null,null,private,4,Italy,1889,1971,73,82,null,Servant of God,null,null,null,null,9781579921194,null,null,null,null,null,
Brennan,Franciscus,Francis,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Francis_Brennan_(cardinal),https://www.wikidata.org/wiki/Q976299,http://viaf.org/viaf/29079233,https://worldcat.org/identities/lccn-no00066175/,https://www.findagrave.com/memorial/17979844/francis-james-brennan,f,Subject of article,council,13,USA,1894,1968,68,74,Cardinal,null,null,null,null,null,null,null,no,null,null,null,
Breysse,Marcellus,Marcel,null,PSS,1,1,1,1,null,null,null,null,null,null,Subject of article,council,0,France,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Brezanoczy,Paulus,Pavol,null,null,1,1,1,0,https://hu.wikipedia.org/wiki/Brezan%C3%B3czy_P%C3%A1l,https://www.wikidata.org/wiki/Q28963420,null,null,null,https://www.catholic-hierarchy.org/bishop/bbreza.html,Obituary,council,1,Hungary,1912,1972,50,60,Bishop,null,null,http://breza.hu/images/image003_2.jpg,null,appointed bishop,null,null,null,null,null,null,
Brown,,Raymond,E,Sulpician,null,null,null,null,https://en.wikipedia.org/wiki/Raymond_E._Brown,https://www.wikidata.org/wiki/Q1285436,http://viaf.org/viaf/109294246,https://worldcat.org/identities/lccn-n79036898/,https://www.findagrave.com/memorial/54006927/raymond-e-brown,null,Obituary,private,16,USA,1928,1998,34,70,null,null,null,null,https://en.wikipedia.org/wiki/Raymond_E._Brown#/media/File:Raymond_E_Brown.jpeg,null,null,null,no,null,null,null,editor of the New Jerome Biblical Commentary
Bugnini,Hannibal,Annibale,null,CM,1,1,1,1,https://en.wikipedia.org/wiki/Annibale_Bugnini,https://www.wikidata.org/wiki/Q566841,http://viaf.org/viaf/74485933,https://worldcat.org/identities/lccn-n83219973/,https://www.findagrave.com/memorial/27128935/annibale-bugnini,https://www.catholic-hierarchy.org/bishop/bbugnini.html,Subject of article,council,14,Italy,1912,1982,50,70,Bishop,null,yes,null,https://en.wikipedia.org/wiki/Annibale_Bugnini#/media/File:Bugnini_col.jpg,null,9780814615713,null,null,null,null,null,
Buijs,Ludovicus,Lodewijk,null,SJ,1,1,1,1,null,https://www.wikidata.org/wiki/Q93249690,http://viaf.org/viaf/15909484,https://worldcat.org/identities/lccn-n88196055/,null,null,null,council,0,Netherlands,1908,2000,54,92,null,null,null,null,null,null,null,null,null,null,null,null,
Burghardt,,Walter,John,SJ,null,null,null,null,https://de.wikipedia.org/wiki/Walter_J._Burghardt,https://www.wikidata.org/wiki/Q1720617,http://viaf.org/viaf/79470423,https://worldcat.org/identities/lccn-n80028599/,https://www.findagrave.com/memorial/40729109/walter-john-burghardt,null,null,private,2,USA,1914,2008,48,94,null,null,null,null,null,null,null,null,no,disobedient on contraception/Humanae Vitae,null,null,editor in chief of the Journal of Theological Studies
Burke,Andreas,Andrew,null,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/230488011/andrew-burke,null,Mentioned in article,council,0,USA,1923,1976,39,53,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=cst19630726-01.2.15&srpos=8&e=-------en-20--1--txt-txIN-%22francis+brennan%22~1+NOT+cardinal-------,null,null,null,no,null,null,null,
Caloyera,Dominicus,Domenico,null,OP,1,1,1,1,https://it.wikipedia.org/wiki/Domenico_Caloyera,https://www.wikidata.org/wiki/Q1237077,http://viaf.org/viaf/162531026,https://worldcat.org/identities/viaf-162531026/,https://www.findagrave.com/memorial/28493258/domenico-caloyera,https://www.catholic-hierarchy.org/bishop/bcaloyera.html,null,council,3,Italy,1915,2017,47,102,Bishop,null,null,https://images.findagrave.com/photos250/photos/2008/205/28493258_121690780891.jpg,null,null,null,yes (last name: Caloyeras),null,null,null,null,
Camagni,Ernestus,Ernesto,null,null,1,1,0,0,https://de.wikipedia.org/wiki/Ernesto_Camagni,https://www.wikidata.org/wiki/Q15808441,http://viaf.org/viaf/307359008,null,null,https://www.catholic-hierarchy.org/bishop/bcama.html,null,council,1,Italy,1900,1966,62,66,Bishop,null,null,https://www.gettyimages.com/detail/news-photo/portrait-of-bishop-ernesto-camagni-of-the-secretary-of-the-news-photo/186172376,null,appointed bishop,null,null,null,null,null,null,
Camelot,Thomas,Pierre,Thomas,OP,1,1,1,1,null,https://www.wikidata.org/wiki/Q55687772,http://viaf.org/viaf/111542199,https://worldcat.org/identities/lccn-n90655282/,null,null,null,council,0,France,1901,1993,61,92,null,null,null,null,null,null,9788820924478,null,null,null,null,null,
Canals,Salvator,Salvador,null,null,1,1,1,1,https://es.wikipedia.org/wiki/Salvador_Canals_Navarrete,https://www.wikidata.org/wiki/Q6117649,http://viaf.org/viaf/66497463,https://worldcat.org/identities/lccn-n80067345/,null,null,Subject of book,council,1,Spain,1920,1975,42,55,null,null,null,null,https://es.wikipedia.org/wiki/Salvador_Canals_Navarrete#/media/Archivo:Scanals.jpg,null,null,null,null,null,null,null,
Cancouet,Michael,Michel,null,CJM,0,1,1,1,null,https://www.wikidata.org/wiki/Q93219945,http://viaf.org/viaf/192652168,https://worldcat.org/identities/lccn-no2014011630/,null,null,Obituary,council,0,France,1931,null,31,null,null,null,null,https://media.ouest-france.fr/v1/pictures/MjAxMzEyMzY4ODFmNmFjYjk2ZjBiNTcwMGZiNTI2OTM0NGQ3NmQ?width=940&focuspoint=50%2C25&cropresize=1&client_id=bpeditorial&sign=2388457c7f8f28d85e6c65099a4fd6d0b778c34d7441e3819a4361e6bcf0aeef,null,null,9782753522480,null,null,null,null,null,
Capovilla,Loris,Loris,null,null,0,0,1,1,https://en.wikipedia.org/wiki/Loris_Francesco_Capovilla,https://www.wikidata.org/wiki/Q697159,http://viaf.org/viaf/113303809,https://worldcat.org/identities/lccn-n79038539/,https://www.findagrave.com/memorial/163299001/loris-francesco-capovilla,https://www.catholic-hierarchy.org/bishop/bcapov.html,Obituary,council,24,Italy,1915,2016,47,101,Cardinal,null,null,null,https://en.wikipedia.org/wiki/Loris_Francesco_Capovilla#/media/File:Capovilla.cardinal2014.jpg,null,null,null,null,null,null,null,Pope John XXIII's private secretary
Carbone,Vincentius,Vincenzo,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q97705841,http://viaf.org/viaf/164640372,https://worldcat.org/identities/viaf-164640372/,null,null,Subject of article,council,0,Italy,1920,2014,42,94,null,null,null,null,null,null,9788886811118,null,null,null,null,null,translated peritus' Pericle Felici's diaries on the Council
Cardijn,Ioseph,Joseph,null,null,0,1,1,0,https://en.wikipedia.org/wiki/Joseph_Cardijn,https://www.wikidata.org/wiki/Q469580,http://viaf.org/viaf/19790809,https://worldcat.org/identities/lccn-n50058797/,https://www.findagrave.com/memorial/5386/joseph-cardijn,http://www.catholic-hierarchy.org/bishop/bcardijn.html,Institute in his name,council,19,Belgium,1882,1967,80,85,Cardinal,Servant of God,null,null,https://en.wikipedia.org/wiki/Joseph_Cardijn#/media/File:Joseph_Cardijn_Colored.jpg,appointed bishop,null,null,null,null,null,null,
Cardinale,Hyginus,Igino,Eugenio,null,1,0,0,0,https://en.wikipedia.org/wiki/Igino_Eugenio_Cardinale,https://www.wikidata.org/wiki/Q5991726,http://viaf.org/viaf/13555015,https://worldcat.org/identities/lccn-n50032394/,https://www.findagrave.com/memorial/89953262/igino-eugenio-cardinale,http://www.catholic-hierarchy.org/bishop/bcardie.html,Obituary,council,6,Italy,1916,1983,46,67,Bishop,null,null,null,null,appointed bishop,null,null,null,null,null,null,
Carley,Ioannes,John,Patrick,null,0,1,1,1,null,null,null,null,null,null,Obituary,council,0,Canada,1925,2016,37,91,null,null,null,https://voluntas.ca/wp-content/uploads/Mr.-John-Carley-1.png,null,null,null,null,null,null,null,"yes, married",
Carpenter,Hilarius,Hilary,J,OP,0,0,1,1,null,https://www.wikidata.org/wiki/Q97063647,http://viaf.org/viaf/6928735,https://worldcat.org/identities/lccn-no00000079/,null,null,null,council,0,England,1896,1973,66,77,null,null,null,null,null,null,null,null,null,null,null,null,first British TV Mass
Casaroli,Augustinus,Agostino,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Agostino_Casaroli,https://www.wikidata.org/wiki/Q182086,http://viaf.org/viaf/32790050,https://worldcat.org/identities/lccn-n86096282/,https://www.findagrave.com/memorial/20921102/agostino-casaroli,https://www.catholic-hierarchy.org/bishop/bcasaroli.html,Obituary,council,28,Italy,1914,1998,48,84,Cardinal,null,null,null,https://upload.wikimedia.org/wikipedia/commons/c/cd/Agostino_Casaroli_-_S_M_de_Medellin_%28cropped%29.jpg,null,null,null,null,null,null,null,
Casoria,Ioseph,Guiseppe,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Giuseppe_Casoria,https://www.wikidata.org/wiki/Q1348520,http://viaf.org/viaf/3925378,https://worldcat.org/identities/lccn-n85289136/,null,https://www.catholic-hierarchy.org/bishop/bcasoria.html,Biography (article),council,12,Italy,1908,2001,54,93,Cardinal,null,null,https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_casoria_g/_jcr_content/parsys/textimage/image.img.jpg/1392893921293.jpg,null,null,null,null,null,null,null,null,
Castellino,Georgius,Giorgio,null,SDB,1,1,1,1,null,https://www.wikidata.org/wiki/Q93269194,http://viaf.org/viaf/81666365,https://worldcat.org/identities/lccn-nr98021990/,null,null,Mentioned in article,council,0,Italy,1903,1992,59,89,null,null,null,null,null,null,null,null,null,null,null,null,
Castillo Lara,,Rosalio,Jose,SDB,null,null,null,null,https://en.wikipedia.org/wiki/Rosalio_Jos%C3%A9_Castillo_Lara,https://www.wikidata.org/wiki/Q959737,http://viaf.org/viaf/27140895,https://worldcat.org/identities/lccn-nr95024249/,null,https://www.catholic-hierarchy.org/bishop/bcaslar.html,Subject of article,private,15,Venezuela,1922,2007,40,85,Cardinal,null,null,null,null,null,9789807219006,null,null,null,null,null,edited book in honor of peritus Stickler
