Last name,Latin first name,First name,Middle name,Order,Session I,Session II,Session III,Session IV,Wikipedia,Wikidata,VIAF,Worldcat identities,Find a Grave,Catholic Hierarchy,Selected mention,Status,# wikipedia pages,Country of origin/Country represented,Birth year,Death year,Age at start of council,Age at death,Highest Episcopal Title,Sainthood,Important,Photo no reuse,Photo reuse,Change during council,Memoir on the council,Typo,Credibly accused? (USA only),Humanae Vitae,Ethics Watch,Left priesthood,Notes
Tinello,Franciscus,Francesco,null,null,1,1,1,1,null,null,http://viaf.org/viaf/166793246,https://worldcat.org/identities/viaf-166793246/,null,null,null,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Tobin,Thomas,Thomas,J,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/137722753/thomas-j-tobin,null,Subject of dissertation,council,0,USA,1897,1978,65,81,null,null,null,null,null,null,null,null,no,null,"liturgically progressive, Mass facing the people in 1942",null,
Tocanel,Petrus,Pietro,null,OFM Conventual,1,1,1,1,https://ro.wikipedia.org/wiki/Petru_Toc%C4%83nel,https://www.wikidata.org/wiki/Q20432263,http://viaf.org/viaf/13394981,https://worldcat.org/identities/lccn-no2010161268/,null,null,Mentioned in article,council,1,Romania,1911,1992,51,81,null,null,null,null,https://ro.wikipedia.org/wiki/Petru_Toc%C4%83nel#/media/Fi%C8%99ier:Petru_Toc%C4%83nel_(1911-1992).jpg,null,null,null,null,null,null,null,
Tondini,Hamletus,Amleto,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q85836304,http://viaf.org/viaf/89511255,https://worldcat.org/identities/viaf-89511255/,https://www.findagrave.com/memorial/91053817/amleto-tondini,null,null,council,0,Italy,1899,1969,63,70,null,null,null,https://images.findagrave.com/photos250/photos/2012/151/91053817_133846530762.jpg,null,null,null,null,null,null,null,null,"foremost latinist, preceded Reginald Foster"
Toomey,Ioannes,John,null,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/15683276/john-j-toomey,null,Mentioned in article,council,0,USA,1920,1992,42,72,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=CTR19750418-01.2.5&srpos=5&e=-------en-20--1--txt-txIN-%22john+j+toomey%22+bridgeport-------,null,null,null,no,null,null,null,
Trape,Augustinus,Agostino,null,OESA,1,1,1,0,https://it.wikipedia.org/wiki/Agostino_Trap%C3%A8,https://www.wikidata.org/wiki/Q16557102,http://viaf.org/viaf/7406183,https://worldcat.org/identities/lccn-n81149630/,null,https://www.catholic-hierarchy.org/bishop/btrapc.html,null,council,3,Italy,1915,1987,47,72,null,null,null,https://recursos.cultordelivros.com.br/MediaCenter/Agostino-Trape.png,null,null,null,null,null,null,null,null,
Trautman,,Donald,null,null,null,null,null,null,https://en.wikipedia.org/wiki/Donald_Walter_Trautman,https://www.wikidata.org/wiki/Q279390,http://viaf.org/viaf/89531259,https://worldcat.org/identities/viaf-89531259/,https://www.findagrave.com/memorial/237128447/donald-walter-trautman,https://www.catholic-hierarchy.org/bishop/btrautman.html,Obituary,private,8,USA,1936,2022,26,86,null,null,null,https://www.eriercd.org/images/sections/bishop/trautman_sm2.jpg,null,null,9781579921194,null,no,null,null,null,
Trezzini,Caelestinus,Celestino,null,null,1,1,1,1,https://de.wikipedia.org/wiki/Celestino_Trezzini,https://www.wikidata.org/wiki/Q60903142,http://viaf.org/viaf/89532932,https://worldcat.org/identities/viaf-89532932/,null,null,null,council,1,Switzerland,1883,1967,79,84,null,null,null,https://www.gettyimages.co.nz/detail/news-photo/professor-celestino-trezzini-ca-1945-news-photo/1174238434,null,null,null,null,null,null,null,null,
Trisco,Robertus,Robert,Frederick,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q93269147,http://viaf.org/viaf/79474823,https://worldcat.org/identities/lccn-n81109197/,null,null,Biography (article),council,0,USA,1929,null,33,null,null,null,null,null,null,null,null,null,no,null,null,null,
Tromp,Sebastianus,Sebastiaan,null,SJ,1,1,1,1,https://en.wikipedia.org/wiki/Sebastiaan_Tromp,https://www.wikidata.org/wiki/Q3089323,http://viaf.org/viaf/118278631,https://worldcat.org/identities/lccn-n90624469/,null,null,Biography (article),council,5,Netherlands,1889,1975,73,86,null,null,null,https://resources.huygens.knaw.nl/bwn1880-2000/lemmata/bwn1/images/TROMP.jpg,null,null,null,null,null,null,null,null,"assisted 2 popes, all of his prepatory work was discarded before it could ever be presented or debated"
Tshibangu,Tharsicius,Tharcisse,null,null,0,1,1,1,https://fi.wikipedia.org/wiki/Tharcisse_Tshibangu_Tshishiku,https://www.wikidata.org/wiki/Q2409163,http://viaf.org/viaf/49243645,https://worldcat.org/identities/lccn-n85813968/,null,https://www.catholic-hierarchy.org/bishop/btsts.html,Subject of article,council,3,Congo,1933,2021,29,88,Bishop,null,null,https://nigeriaworld.com/news/source/2022/jan/images/tsihbangu.webp,null,null,9782811107840,null,null,null,null,null,
